,t1 (mean),t2 (mean)
sample_123,-0.84764674208498,0.028073763259650282
sample_124,-0.21114145002304124,-0.7877893444571081
sample_125,-0.21576119457321447,-0.8182212554419903
sample_126,-0.48808390302019006,0.34986967989607215
sample_127,-0.90241906105159,0.36000346403283834
sample_128,0.27126410985179905,-0.5688960424281605
sample_129,0.09894363030576943,-0.9413862301701569
sample_130,0.06731060739799508,-0.9406875624954041
sample_131,0.07396286663887479,-0.9396576512821617
sample_132,0.17805008063823347,-0.9428846967507408
sample_133,0.17681195310749132,-0.9413282943158519
sample_134,-0.5312074349636771,0.5144740492417085
sample_135,-0.5810090185900665,0.4744772002873372
sample_136,0.27220603496135143,0.050882781222742146
sample_137,0.22041948843983938,0.07303783385483067
sample_138,0.2460645130992526,0.11274917188631059
sample_139,0.19538324721009825,0.0983731934264323
sample_140,0.20652485302878443,0.0996698188102371
sample_141,0.3030597028496267,-0.6928607115624871
sample_142,-0.4601247013915031,0.45128729006323515
sample_143,0.3605148729498627,-0.5201890570696835
sample_144,0.38320189931021664,-0.4560449888267371
sample_145,0.39019062649360636,-0.44570765969561194
sample_146,0.21206961760122195,-0.9233063905827839
sample_147,0.264945451965073,-0.9008046048987197
sample_148,0.3821516315317354,0.07616788501826914
sample_149,0.3821516315317354,0.07616788501826914
sample_150,0.38051191333284945,0.06743533754219767
sample_151,0.38051191333284945,0.06743533754219767
sample_152,0.3830392905901798,0.07501128243759021
sample_153,0.3830392905901798,0.07501128243759021
sample_154,0.3641203921672572,0.09276756113592018
sample_155,0.3616940162324035,0.0929188097221542
sample_156,0.306820674432944,0.028027171892307638
sample_157,0.3385175554609558,0.0005667201041725632
sample_158,-0.3550023537933525,0.805535089568812
sample_159,0.3034526743846335,0.12271491451564318
sample_160,0.33386865535164995,0.12223946349431775
sample_161,0.3313568410478687,0.16173130592766277
sample_162,0.2925024792840258,0.1290753051577995
sample_163,0.31059754461834244,0.11455519718883853
sample_164,0.29690496657176646,0.1286722467787157
sample_165,0.03334600688621796,0.48389876116652597
sample_166,-0.03466348079150249,0.5440720053316119
sample_167,0.45126243588147047,-0.9052530882042288
sample_168,0.40709390500062725,-0.5892134063903963
sample_169,-0.6271001924267834,0.6468539264713492
sample_170,0.49857683318771046,-0.3921837017772772
sample_171,0.49940072064165153,-0.41312107458639946
sample_172,0.4952595702161096,-0.4003787006601144
sample_173,0.5384096286792397,-0.3424322215808395
sample_174,0.4992814547200489,-0.39984964385278593
sample_175,0.5168604655943455,-0.3889192178173844
sample_176,0.5067275653986529,-0.39267746221049254
sample_177,-0.19325630205421898,0.781324713076317
sample_178,0.45046167582160174,0.12571141321281104
sample_179,0.45639518207255997,0.17193315365300293
sample_180,0.40945807210834984,0.2017743406565588
sample_181,0.4131247033616509,0.15088140105725165
sample_182,-0.8622599963911954,0.9429360857408797
sample_183,0.760755692689993,-0.3626439354694146
sample_184,0.6669991239758302,-0.3112478195867625
sample_185,0.6860285388943862,-0.3003188955762562
sample_186,0.6632964066152361,-0.2936534057458857
sample_187,0.6963359672002676,-0.311677686743867
sample_188,0.734014786885692,-0.29930324582357637
sample_189,0.6462671217839567,-0.31538684373561704
sample_190,0.5351533214502151,0.15463353976057465
sample_191,0.485725302534566,0.23626197070975538
sample_192,-0.24678177402488014,0.961952512400483
sample_193,0.7713089005326327,-0.8688660681970807
sample_194,0.8044167115761777,-0.90645188389545
sample_195,-0.9225808987085572,0.9667221308569487
sample_196,0.9487728861244553,-0.19312905988863213
sample_197,0.6721847777018758,0.22930506864771164
sample_198,0.6777066115364673,0.28752125445780213
sample_199,0.3237454724265874,0.6721435729708926
sample_200,0.9295096387877094,-0.6666684803730732
sample_201,0.9406354738018246,-0.9233276031358145
sample_202,0.9530604158801516,-0.7316836010739171
sample_203,0.8844100991756402,0.30440713730945534
sample_204,0.9009322176310356,0.3477604382874488
sample_205,-0.8842311226210783,0.9733415610870139
sample_206,0.9412223586306421,0.4245561267484798
sample_207,0.8304076377685301,0.9480272458117354
sample_208,0.9654082197958423,0.5609510651237275
sample_209,0.8124200521034377,0.9206301700759689
sample_210,0.8304076377685301,0.9480272458117354
sample_211,0.981847916906539,0.6990468890421324
sample_212,0.9652019166663368,0.9822485512340753
sample_213,-0.5228000182727285,0.2220773975486094
sample_214,-0.32853987896131037,-0.00782670199304383
sample_215,-0.32365830471218765,-0.19550418718509652
sample_216,-0.8710759490917436,-0.8822595608690709
sample_217,-0.40970456165049185,-0.16959157201761493
sample_218,-0.12646562668557382,0.13607746041789706
sample_219,-0.052794797697459914,0.07215415864409312
sample_220,-0.2255800119993736,-0.03915220441556271
sample_221,-0.5147750192707767,-0.16571136321076818
sample_222,-0.8809922602830855,-0.9153378463932594
sample_223,-0.7835794216639586,-0.8394040032046133
sample_224,-0.351086743162111,-0.6211056115185126
sample_225,-0.3603793592544561,-0.8277009377325587
sample_226,-0.3557403855789921,-0.0029544882770142105
sample_227,-0.029248478919019567,-0.17700442214175435
sample_228,0.03128259051102816,-0.21571253179512323
sample_229,-0.04026368295148457,-0.14387619024169215
sample_230,0.013362033898112552,0.28296486398669995
sample_231,-0.4881812897494134,0.22346922491072385
sample_232,-0.8412229880560582,0.26567410272690867
sample_233,-0.9196818826499545,0.18437827105823762
sample_234,-0.9095410194159558,0.20248233842690086
sample_235,-0.197791320565026,-0.82083050300915
sample_236,-0.5333866972095518,-0.5909391134148426
sample_237,0.161475360160591,0.5596404656900826
sample_238,-0.49776083904281004,-0.0011099272999805024
sample_239,-0.5626871645457533,-0.08649792971836001
sample_240,-0.45851939881727244,-0.05298114516917603
sample_241,-0.28701158069375665,-0.7952392135773223
sample_242,0.11579782229910307,-0.8573267343015736
