"",MinAbsEStateIndex,MolWt,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi0,Chi1n,Chi1v,Chi3v,Chi4v,HallKierAlpha,Ipc,Kappa2,PEOE_VSA1,PEOE_VSA6,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,TPSA,EState_VSA10,EState_VSA2,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,NOCount,NumHAcceptors,MolLogP,MolMR,fr_C_O
sample_211,1.373456790123457,268.5289999999999,0.0533059727891157,0.2631578947368421,0.5789473684210527,2.8766966445353965,14.020815280171313,9.414213562373094,9.414213562373094,4.207106781186547,2.7980970388562785,0.0,16439.976933070877,18.0,0.0,123.00144198912344,0.0,0.0,0.0,0.0,0.0,123.00144198912344,0.0,0.0,0.0,109.1539675897422,0.0,0.0,0.0,0.0,0.0,0,0,7.657900000000008,89.83700000000009,0
sample_212,0.0017184238155285,340.5920000000001,0.3052775141617927,0.5416666666666666,1.3333333333333333,3.0581741685865103,17.71948589292058,10.964690378025043,10.964690378025043,4.745394899343333,3.043168495767231,-0.53,173172.87358004812,20.514503782821546,4.736862953800049,110.15979874327142,6.4208216229260096,6.606881964512918,5.969305287951849,12.576187252464766,9.53140013787187,129.42226361204948,26.3,4.794537184071822,5.969305287951849,89.89150272096417,11.429553616296912,0.0,0.0,-0.0017184238155285,0.0,2,2,7.591200000000009,105.4130000000001,1
sample_213,0.0648148148148151,84.11799999999998,0.1544129800267248,1.5,1.6666666666666667,3.5677034550432034,5.154700538379252,1.8076775358252053,1.8076775358252053,0.6010075515613058,0.0,-0.5900000000000001,13.609640474436812,1.752075501997055,0.0,6.578935683598497,0.0,0.0,5.783244946364939,5.783244946364939,4.794537184071822,13.847474399381248,17.07,4.794537184071822,5.783244946364939,6.923737199690624,10.04398148148148,0.0,0.6203703703703705,0.0648148148148151,0.0,1,1,1.1515,25.49499999999999,1
sample_214,0.1712962962962965,112.987,0.1054081620077623,1.6,1.8,2.5395388613593908,4.284457050376173,1.551790852122395,2.424662413066365,0.9258200997725516,0.0,0.58,9.65148445440323,2.798340611353712,0.0,6.923737199690624,0.0,0.0,23.20187978046503,4.836269690250055,0.0,13.344558822616634,0.0,0.0,4.836269690250055,0.0,-0.1712962962962965,0.0,0.0,0.0,0.0,0,0,2.2001,25.78499999999999,0
sample_215,0.6840277777777779,112.987,0.0234294909586018,1.0,1.4,2.19060968716425,4.121320343559642,1.5345224838248486,2.6035674514745457,0.801783725737273,0.4545686450484947,0.58,11.245112497836532,4.58,0.0,0.0,11.760006889940678,0.0,23.20187978046503,11.760006889940678,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680555555555558,0.0,0,0,1.8541,26.05699999999999,0
sample_216,0.09375,76.095,0.0452382368238775,1.0,1.4,2.19060968716425,4.121320343559642,1.6324555320336755,1.6324555320336755,0.3162277660168378,0.0707106781186547,-0.08,11.245112497836532,3.92,10.213054789681411,0.0,13.213763929025836,0.0,0.0,23.42681871870725,0.0,6.4208216229260096,40.46,0.0,13.213763929025836,0.0,0.0,15.8125,0.0,0.0,0.0,2,2,-0.6389,18.7886,0
sample_217,0.1898148148148146,69.107,0.0649457173195011,1.6,1.8,2.9394472463233274,4.284457050376173,1.6669824707240437,1.6669824707240437,0.2581988897471611,0.0,-0.51,9.65148445440323,1.7765329512893986,0.0,0.0,5.917906046161393,6.069221312792274,0.0,0.0,0.0,13.847474399381248,23.79,0.0,5.917906046161393,0.0,0.0,7.893518518518519,0.0,0.1898148148148146,2.0277777777777777,1,1,1.16598,20.450999999999997,0
sample_218,0.7427777777777779,127.014,0.022337404985431,0.8333333333333334,1.3333333333333333,2.3390923149762908,4.82842712474619,2.034522483824849,3.1035674514745457,1.0517837257372729,0.5669467095138406,0.58,20.986300857070454,5.579999999999999,0.0,0.0,11.760006889940678,0.0,23.20187978046503,11.760006889940678,0.0,12.84164324585202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4855555555555555,0.0,0,0,2.2442,30.673999999999992,0
sample_219,0.6967592592592591,137.01999999999998,0.011445025631977,1.8,2.0,2.5395388613593908,4.284457050376173,1.910923231076029,2.826598759867718,1.210032016201136,0.0,0.48,9.65148445440323,2.7032142857142865,0.0,29.7774182973306,4.827174070296812,0.0,15.929943897949348,4.827174070296812,0.0,20.268296022307258,0.0,0.0,0.0,6.4208216229260096,0.6967592592592591,0.0,0.0,0.0,0.0,0,0,2.1798,28.67999999999999,0
sample_220,0.3564814814814814,92.569,0.030476535552498,1.8,2.0,2.5395388613593908,4.284457050376173,1.910923231076029,2.3473590115480136,0.8711583403501388,0.0,0.29,9.65148445440323,2.523100233100233,0.0,6.923737199690624,5.3770878682057255,0.0,11.600939890232516,5.3770878682057255,0.0,20.268296022307258,0.0,0.0,0.0,0.0,0.0,0.3564814814814814,0.0,0.0,0.0,0,0,2.0237,25.605999999999987,0
