,MaxEStateIndex,NumAromaticCarbocycles,ExactMolWt,HeavyAtomCount,MolWt,Chi0,Chi3n,MaxAbsPartialCharge,LabuteASA,Chi0n,NumValenceElectrons,Chi0v,Chi3v,MinAbsPartialCharge,Chi1n,Chi1,MolMR,NumHDonors,Chi1v,NOCount,Chi2n,VSA_EState10
SMR_VSA9,0.05791660000573498,0.4236811842739572,0.3005339675701034,0.2914493382790468,0.30116520070953257,0.2784151578389883,0.13249040979912724,0.09395550311691421,0.30741256837509146,0.2172606523961903,0.24625466595926365,0.262366258368112,0.1491261902306096,0.026083261934786155,0.18867326824291739,0.29752258696986555,0.3005871622275585,0.05202660691698592,0.20667829648382594,0.07262075501047456,0.1487646427361056,0.22999215965791722
SlogP_VSA1,0.33171168701388953,0.07932986232696893,0.2386248294257826,0.2977001390581798,0.2368861061369463,0.306748483133679,0.07473512618470621,0.3097902875850005,0.24027235209163747,0.2542422612319375,0.29322690513834926,0.21525090674144798,0.0722068871091705,0.4326889071437032,0.19013717964721247,0.29424744084561016,0.2261485235810329,0.4554170307922926,0.19139661097265231,0.6139891363344057,0.13036658185410996,0.1403668094725669
SlogP_VSA10,0.2936295909581562,0.1696218320341479,0.22170491456400115,0.2705306222883565,0.22031483539898672,0.28115367669160973,0.0676053926606643,0.1910216709854194,0.22315880650385705,0.22907702569411315,0.26306391269034923,0.19828113558428045,0.07236959717240071,0.3397612874460065,0.17564594816525816,0.26395908409197283,0.2148643739500171,0.16309402255709887,0.17689542427534904,0.368236836582265,0.12534430952785458,0.1126951814186669
SlogP_VSA12,0.20415973502782622,0.13022457371590887,0.4091837941769932,0.05489434473516706,0.41477410666856007,0.07679041377360372,0.08925974867447262,0.36073438847028905,0.24423054843432426,0.07127449549953517,0.05586334222726796,0.24970222374499254,0.23824749730386383,0.16582154457411033,0.09707056841953117,0.03895478547798381,0.18948102788188245,0.21568342685745526,0.181693360932745,0.2623868438450822,0.09621377750543743,0.9506189820147847
SlogP_VSA2,0.48749127403149795,0.18471453101099616,0.5122856515744715,0.5898924023113039,0.5097014441753698,0.6132013526574012,0.5085313582692628,0.4675352381631207,0.5383781245856997,0.5981815740840515,0.6390769561946235,0.536332090262313,0.4649533675385407,0.4376696291578723,0.5644891325987087,0.5790193807801848,0.48096442144295004,0.6009078116570261,0.5272482093232341,0.7727067130060962,0.5463399526727954,0.14521243029084818
SlogP_VSA3,0.4701064311865017,0.06802246976790063,0.4399249182545704,0.4908020682404211,0.437598041004675,0.5150705715812927,0.3912768438465248,0.33511408764295436,0.44865070003241897,0.5009368611000491,0.5253955304108927,0.4702907300017073,0.44892736768402913,0.4876665151850438,0.45869611199083143,0.4782525083020702,0.41199809566480766,0.2313575423226992,0.5064416578737105,0.5611310966131375,0.42718457505130775,0.13291343422750587
SlogP_VSA4,0.2656042149387634,0.15177945193588294,0.35042302017984356,0.4236068690526462,0.34860056547494817,0.4300552770426422,0.670160753135257,0.09942542573962627,0.39975640364405407,0.4881300788098715,0.4493148363371943,0.42784946385705835,0.5622696495896059,0.09746566186944011,0.5133872161747267,0.4079594420174274,0.38241464554160665,0.13130460269679622,0.43843154153090236,0.22304754669077098,0.6251886648412386,0.11548184643026267
SlogP_VSA5,0.29980210036456234,0.32396258459200034,0.21464173650906712,0.34090728925828034,0.21201777564758095,0.36025335884369064,0.5654524783925806,0.19738631259796055,0.3131802948106083,0.5146119360603887,0.4181292707785254,0.39297725825512825,0.41884191436835405,0.10651828024077208,0.5653133119736318,0.33690375062383404,0.33906710102252263,0.06533097790959994,0.4419334243417186,0.10003008889135179,0.5868187651520076,0.2891817606010257
SlogP_VSA6,0.009404811538466768,0.8426689809939713,0.3553843054980267,0.46614127916988424,0.35439907930748454,0.40847157136529827,0.2603209695781257,0.0565723335695812,0.4274546532249936,0.3699145665622252,0.35946308836664925,0.34548054957773916,0.22820211631294018,0.013395724251016199,0.3617059923248238,0.49218404835811863,0.48678229614433244,0.02374005139745211,0.3341217883109632,0.048813108633704666,0.28300168195426373,0.012344996838593192
TPSA,0.6427997391674103,0.10505374764448237,0.4203726986610852,0.5242526098267464,0.4172605521718647,0.5552293970395126,0.359661404154103,0.573036723070554,0.4275544254765534,0.47430287765874474,0.5452035801077771,0.3871543783849073,0.2952786169514522,0.6424370175496426,0.4170961818986341,0.5057171354304322,0.3551153032870929,0.8090136581044692,0.3700151401031567,0.9582040853837259,0.40217073868534564,0.25736550877374187
EState_VSA1,0.4551358494527236,0.07690898847256004,0.4847648958103795,0.5202745750294325,0.48308086394394845,0.5580782589409916,0.41005410125263025,0.2705289374728807,0.4695980275191029,0.46654299204782,0.5515516301230333,0.43873895150753933,0.39016075731633526,0.38391915654801684,0.4258758165532119,0.49515886873219517,0.3831690755369266,0.6651169696187641,0.41670935458591707,0.6988776284084064,0.43853828426642366,0.04660652654934809
EState_VSA10,0.6844333019360402,0.035706390502316415,0.5134815318250412,0.607943485326931,0.5107096937231501,0.6408889395027892,0.5170375040342626,0.4093507406985373,0.5268832261023966,0.5734136721228613,0.6308672998249022,0.4957921540845909,0.4309070840973016,0.5537109549796961,0.5352895113235457,0.5851117520484725,0.4524115420733242,0.5773296647191233,0.4770857308899632,0.7625565818659268,0.5450969166089671,0.1983261199749561
