,MaxAbsEStateIndex,MinAbsEStateIndex,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan3,Chi1,Chi1n,Chi1v,Chi3n,Chi3v,Chi4n,Kappa1,Kappa2,SMR_VSA1,SMR_VSA4,SMR_VSA5,TPSA,EState_VSA3,EState_VSA5,EState_VSA7,EState_VSA9,VSA_EState2,VSA_EState4,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,NumRotatableBonds,RingCount,MolLogP,MolMR
sample_91,5.357777777777778,0.8217592592592595,93.129,0.0313475925912186,-0.3987288294865909,1.8571428571428568,3.393846850117352,2.1993587371177727,2.1993587371177727,0.7995724914118484,0.7995724914118484,0.4530389187988476,4.18611295681063,1.6461962159398054,0.0,0.0,0.0,26.02,0.0,0.0,30.33183534230805,5.733667477162185,0.0,6.179537037037037,0.0,7,2,1,0,1,1.2688,30.8544
sample_92,3.979166666666667,1.0717592592592595,93.129,0.0372146527339204,-0.2616124249449184,2.571428571428572,3.393846850117352,2.2704808220919537,2.2704808220919537,0.8127753618486622,0.8127753618486622,0.4481391923352558,4.31260162601626,1.7349674800723751,0.0,0.0,6.923737199690624,12.89,0.0,0.0,25.12283840507545,0.0,3.979166666666667,1.0717592592592595,1.9722222222222223,7,0,0,0,1,1.39002,28.973999999999997
sample_93,8.032678571428571,0.585,108.144,0.0621251094438701,-0.1983473870429581,1.5,3.914213562373095,2.6543203766865053,2.6543203766865053,0.8271601883432526,0.8271601883432526,0.4081138830084188,6.980000000000001,5.980000000000001,0.0,0.0,25.68328649170404,47.58,12.84164324585202,0.0,12.138442625584547,10.523783109476971,0.0,0.0,0.0,8,0,0,3,0,1.59396,29.69399999999999
sample_94,2.267361111111111,1.3194444444444444,82.146,-0.0350625096766017,-0.0885390926211166,1.5,3.0,2.6498299142610597,2.6498299142610597,1.158248290463863,1.158248290463863,0.7600796553858445,3.914216027874565,2.012323325522952,0.0,0.0,25.68328649170404,0.0,0.0,25.68328649170404,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,2.1166,27.607999999999983
sample_95,10.463055555555556,0.4641203703703709,98.145,0.132411327598581,-0.2997179089731855,1.8571428571428568,3.393846850117352,2.9112309264184786,2.9112309264184786,1.4112309264184788,1.4112309264184788,0.9461142625940432,4.8199250374812594,2.101967961325131,4.794537184071822,0.0,32.10410811463005,17.07,5.783244946364939,6.4208216229260096,0.0,0.0,10.463055555555556,0.0,0.0,7,0,0,0,1,1.5196,28.091999999999985
sample_96,10.17777777777778,0.1250000000000004,98.145,0.1520474263569204,-0.2951827654226325,1.7142857142857142,3.125897657686229,2.2814744144215573,2.2814744144215573,0.4919382669910984,0.4919382669910984,0.4065262647925708,6.41,2.560698134009604,4.794537184071822,0.0,20.771211599071872,17.07,0.0,0.0,13.847474399381248,0.0,10.17777777777778,1.0625000000000002,5.356944444444444,7,0,0,1,0,1.5416,30.111999999999988
sample_97,1.5,1.5,84.162,-0.0533059727891157,-0.0533059727891157,0.6666666666666666,3.0,3.0,3.0,1.4999999999999996,1.4999999999999996,1.0606601717798207,4.166666666666667,2.2222222222222223,0.0,0.0,38.524929737556064,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,6,0,0,0,1,2.3406,27.701999999999984
sample_98,3.7546296296296298,0.6574074074074072,84.16199999999999,-0.0265575612334346,-0.0998815001774904,1.6666666666666667,2.6427344100918364,2.296929063567338,2.296929063567338,0.9855985596534887,0.9855985596534887,0.0,5.740000000000001,2.012323325522952,0.0,5.917906046161393,20.771211599071872,0.0,5.917906046161393,5.573104530069267,6.923737199690624,0.0,0.0,1.2592592592592595,10.083333333333334,6,0,0,1,0,2.2185,29.651999999999983
sample_99,2.1203703703703702,1.425925925925926,84.16199999999999,-0.0439638096280874,-0.0777875028816461,0.8333333333333334,2.6427344100918364,2.25,2.25,1.0,1.0,0.0,5.740000000000001,2.012323325522952,0.0,0.0,27.694948798762496,0.0,0.0,11.146209060138537,0.0,0.0,0.0,2.851851851851852,8.481481481481481,6,0,0,0,0,2.3626000000000005,29.721999999999984
sample_100,3.7916666666666665,1.1354166666666663,84.16199999999999,-0.0351687680057412,-0.0998823852341151,1.6666666666666667,2.808060412490447,2.474873734152916,2.474873734152916,0.9999999999999998,0.9999999999999998,0.2499999999999999,5.740000000000001,2.950970464135022,0.0,0.0,26.689117645233267,0.0,0.0,5.573104530069267,0.0,0.0,0.0,1.3425925925925928,8.05324074074074,6,0,0,2,0,2.3626000000000005,29.721999999999984
sample_101,3.5981944444444443,1.1770833333333337,84.16199999999999,-0.035351360605688,-0.1030829803040114,2.5,2.914213562373095,2.5236033621142733,2.5236033621142733,0.7618016810571366,0.7618016810571366,0.3484617125293379,5.740000000000001,4.74,0.0,0.0,26.186202068468653,0.0,0.0,19.26246486877803,6.076020106833881,0.0,0.0,0.0,5.782222222222222,6,0,0,3,0,2.3626000000000005,29.721999999999984
sample_102,2.180555555555556,1.2326388888888888,84.162,-0.0353464583027834,-0.091664372222574,2.333333333333333,2.914213562373095,2.52603867417337,2.52603867417337,0.6910440616569955,0.6910440616569955,0.3333333333333333,5.740000000000001,4.74,0.0,0.0,26.689117645233267,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,4.231805555555555,6,0,0,2,0,2.3626000000000005,29.721999999999984
sample_103,2.180555555555556,1.2326388888888888,84.162,-0.0353464583027834,-0.091664372222574,2.333333333333333,2.914213562373095,2.52603867417337,2.52603867417337,0.6910440616569955,0.6910440616569955,0.3333333333333333,5.740000000000001,4.74,0.0,0.0,26.689117645233267,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,4.231805555555555,6,0,0,2,0,2.3626000000000005,29.721999999999984
sample_104,2.3402777777777777,1.0462962962962965,84.162,-0.0442800728356319,-0.062509722834086,1.8333333333333333,2.893846850117352,2.893846850117352,2.893846850117352,1.6438468501173518,1.6438468501173518,1.129936126950895,4.166666666666667,1.6326530612244898,0.0,5.917906046161393,32.60702369139466,0.0,0.0,25.68328649170404,0.0,0.0,0.0,0.0,2.3402777777777777,6,0,0,0,1,2.1965000000000003,27.631999999999984
sample_105,3.744861111111111,1.1805555555555556,84.16199999999999,-0.0328395489916194,-0.1001411052091167,2.1666666666666665,2.770055610029662,2.414213562373095,2.414213562373095,0.6767766952966368,0.6767766952966368,0.4267766952966367,5.740000000000001,2.950970464135022,0.0,0.0,26.689117645233267,0.0,0.0,18.414747775921285,0.0,0.0,0.0,1.289351851851852,7.965277777777777,6,0,0,2,0,2.3626000000000005,29.721999999999984
sample_106,3.600833333333333,0.7800925925925924,84.16199999999999,-0.033016380540785,-0.1030730046190965,2.1666666666666665,2.770055610029662,2.3794454097708404,2.3794454097708404,0.6380711874576984,0.6380711874576984,0.3333333333333333,5.740000000000001,2.950970464135022,0.0,5.917906046161393,20.268296022307258,0.0,0.0,0.0,6.076020106833881,0.0,0.0,0.0,7.965277777777778,6,0,0,2,0,2.2185,29.651999999999983
sample_107,4.837777777777777,0.8194444444444444,100.161,0.0872426461689126,-0.5018186780452695,2.857142857142857,3.414213562373095,2.63973246664074,2.63973246664074,0.733593218286196,0.733593218286196,0.3110042339640731,6.539999999999999,5.54,4.736862953800049,0.0,19.765380445542643,9.23,0.0,12.6829020713468,0.0,4.736862953800049,0.0,0.0,6.361111111111111,7,0,0,4,0,1.9466,31.056999999999984
sample_108,8.909166666666668,0.035879629629629,100.161,0.0539847748448125,-0.3931313824678402,1.8571428571428568,3.393846850117352,3.0746954706748872,3.0746954706748872,1.574695470674887,1.574695470674887,1.0810387176187242,5.10367816091954,2.3141072195146584,5.106527394840706,0.0,38.20807450237835,20.23,0.0,19.26246486877803,0.0,5.106527394840706,0.0,0.0,0.0,7,1,1,0,1,1.3114,29.091799999999985
sample_109,10.202638888888888,0.3072685185185186,100.161,0.1293397726031704,-0.3000310249948769,2.2857142857142856,3.270055610029662,2.7647843170117525,2.7647843170117525,0.8823921585058763,0.8823921585058763,0.4257221742419769,6.670000000000001,3.84636684303351,4.794537184071822,0.0,33.10993926815928,17.07,5.783244946364939,0.0,0.0,0.0,10.202638888888888,0.0,3.720833333333333,7,0,0,3,0,1.7656,30.20599999999998
sample_110,10.254166666666666,0.2870370370370374,100.161,0.1295951211737157,-0.3000199627172533,2.0,3.125897657686229,2.62062636466832,2.62062636466832,0.6957057690291278,0.6957057690291278,0.5749149571305298,6.670000000000001,2.779490232395047,4.794537184071822,5.917906046161393,27.19203322199788,17.07,5.917906046161393,0.0,13.847474399381248,0.0,10.254166666666666,0.0,5.711111111111111,7,0,0,2,0,1.6215,30.13599999999998
sample_111,10.420833333333334,0.0879629629629625,116.15999999999998,0.3052568056177093,-0.4659693345182679,2.5,3.808060412490447,2.9646903780250446,2.9646903780250446,0.7594493502441826,0.7594493502441826,0.4372805665954793,7.470000000000001,4.624559505409582,9.53140013787187,0.0,26.689117645233267,26.3,13.027703587438928,0.0,13.847474399381248,0.0,10.420833333333334,0.0,4.267175925925926,8,0,0,3,0,1.3496,31.540999999999983
sample_112,10.161574074074077,0.1296296296296299,116.15999999999998,0.3059658046242487,-0.4810267167108486,1.875,3.718744015013406,2.947116220877545,2.947116220877545,1.334839412155211,1.334839412155211,0.637915987096535,7.470000000000001,3.4692670369115906,9.901064578912528,5.917906046161393,26.689117645233267,37.3,0.0,0.0,13.847474399381248,5.106527394840706,10.161574074074077,0.0,3.782314814814815,8,1,1,3,0,1.5072,31.70779999999998
sample_113,9.874124149659863,0.3272222222222223,116.15999999999998,0.3028395550892085,-0.4812303897890361,2.5,3.770055610029662,2.988391114761732,2.988391114761732,0.9941955573808656,0.9941955573808656,0.5262257251529125,7.470000000000001,4.624559505409582,9.901064578912528,0.0,32.60702369139466,37.3,6.4208216229260096,0.0,0.0,5.106527394840706,9.874124149659863,0.0,2.05739134542706,8,1,1,4,0,1.6513,31.77779999999998
