,MaxEStateIndex,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi3n,Chi3v,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA6,SlogP_VSA5,TPSA,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,HeavyAtomCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms
sample_231,10.14351851851852,0.2129629629629628,86.134,76.05399999999999,-0.2997396385899406,0.2997396385899406,0.1318534622268426,1.5,1.6666666666666667,3.2575861612334887,0.8130525295851417,0.8130525295851417,13.609640474436812,1.9424795640326973,0.0,6.923737199690624,5.917906046161393,0.0,5.783244946364939,0.0,20.771211599071872,17.07,0.0,0.0,0.0,0.4722222222222225,0.0,0.0,6,1,0,1,0,1
sample_232,10.031944444444443,0.0254629629629625,102.133,92.053,-0.4631559932494283,0.4631559932494283,0.3023791003505635,1.5714285714285714,2.0,3.126006652390634,0.4016659130257426,0.4016659130257426,19.093583929800843,5.47,4.736862953800049,13.847474399381248,6.923737199690624,6.103966387748303,5.969305287951849,0.0,20.771211599071872,26.3,6.923737199690624,0.0,0.0,-0.2129629629629625,0.0,0.0254629629629625,7,2,0,2,0,2
sample_233,9.930324074074074,0.1805555555555558,102.13299999999998,92.05299999999998,-0.4810341567461046,0.4810341567461046,0.3056945528481206,1.8571428571428568,2.2857142857142856,3.34341705895396,1.033943437017994,1.033943437017994,27.977093296928835,2.2012614259597805,5.106527394840706,6.4208216229260096,0.0,5.917906046161393,5.969305287951849,0.0,20.268296022307258,37.3,0.0,8.18199074074074,0.0,-0.8865740740740742,0.0,0.7175925925925926,7,2,0,1,1,2
sample_234,9.647083333333336,0.2048611111111109,101.125,92.05299999999998,-0.5501718623538444,0.5501718623538444,0.0413834403875692,1.7142857142857142,2.4285714285714284,2.8219389370591843,0.734454231121842,0.734454231121842,29.01955000865388,5.47,9.901064578912528,12.84164324585202,5.969305287951849,0.0,5.969305287951849,0.0,26.186202068468653,40.13,0.0,9.647083333333336,0.0,-0.9427314814814808,0.0,1.86787037037037,7,2,0,2,0,2
sample_235,3.2847222222222223,1.25,85.15,74.062,-0.3167325809905548,0.3167325809905548,0.0048911400116898,0.8333333333333334,1.6666666666666667,2.0,1.2071067811865472,1.2071067811865472,34.3994618804395,0.9767560019818928,5.316788604006331,25.93115605767717,0.0,0.0,0.0,13.08951281182515,19.26246486877803,12.03,32.351977680603184,3.2847222222222223,0.0,0.0,0.0,4.215277777777778,6,1,0,1,1,1
sample_236,8.402777777777779,0.0972222222222223,88.14999999999999,76.05399999999999,-0.3958312170553949,0.3958312170553949,0.0478988365089887,1.3333333333333333,1.5,3.1684898726705697,0.4743416490252568,0.4743416490252568,12.16479703638053,3.96,5.106527394840706,5.41499046939678,6.606881964512918,0.0,0.0,6.606881964512918,20.771211599071872,20.23,0.0,8.402777777777779,0.0972222222222223,0.0,0.0,0.0,6,1,0,1,1,1
sample_237,5.538981481481482,0.7213482615268328,158.28499999999997,136.10899999999998,-0.3808986157644258,0.3808986157644258,0.0491163730446244,0.9090909090909092,1.5454545454545454,3.1273714619787736,2.198584704241717,2.198584704241717,242.16734628632975,6.361606425702812,4.736862953800049,11.835812092322788,13.213763929025836,0.0,0.0,13.213763929025836,40.53659204461451,9.23,12.84164324585202,0.0,0.0,1.4426965230536657,0.0,2.4454483182161755,11,1,0,1,0,1
sample_238,4.899305555555555,0.435185185185185,88.14999999999999,76.05399999999999,-0.3817588538595076,0.3817588538595076,0.0540150109548438,1.6666666666666667,2.1666666666666665,2.7541847860376616,0.9772838841927124,0.9772838841927124,19.80026905978025,2.212525252525253,4.736862953800049,13.344558822616634,7.109797541277533,6.103966387748303,0.0,7.109797541277533,20.268296022307258,9.23,0.0,0.0,0.0,0.0,0.0,1.542824074074074,6,1,0,1,0,1
sample_239,4.9375,0.0416666666666665,88.14999999999999,76.05399999999999,-0.3791035972502146,0.3791035972502146,0.0594252076440529,1.1666666666666667,1.3333333333333333,3.168489872670569,0.6123724356957946,0.6123724356957946,12.16479703638053,3.96,4.736862953800049,20.771211599071872,7.109797541277533,5.601050810983688,0.0,7.109797541277533,20.771211599071872,9.23,0.0,0.0,0.0416666666666665,0.0,0.0,0.0,6,1,0,1,0,1
sample_240,4.8032407407407405,0.6759259259259258,88.15,76.05399999999999,-0.3844239226756276,0.3844239226756276,0.0484717683572737,1.5,2.0,2.6272148478988635,0.5000000000000001,0.5000000000000001,14.834466856136649,3.96,4.736862953800049,5.917906046161393,13.716679505790452,0.0,0.0,13.716679505790452,13.847474399381248,9.23,0.0,0.0,0.0,0.6759259259259258,0.0,0.0,6,1,0,1,0,1
sample_241,5.214583333333334,0.855,87.16600000000001,74.062,-0.3304735053776849,0.3304735053776849,0.0077277197951865,1.3333333333333333,2.1666666666666665,2.3390923149762908,0.8076775358252051,0.8076775358252051,20.986300857070454,3.96,5.733667477162185,12.965578028838586,0.0,0.0,0.0,6.544756405912575,26.186202068468653,26.02,19.26246486877803,0.0,5.214583333333334,0.0,0.0,3.7541666666666655,6,1,0,1,1,1
sample_242,3.88425925925926,1.2106481481481484,93.129,86.073,-0.264459387256486,0.264459387256486,0.0296530038281348,1.5714285714285714,2.7142857142857144,3.0214653097240864,0.8094199929348828,0.8094199929348828,47.19725257297226,0.9995769964301436,0.0,18.55355575984923,12.393687143226153,0.0,0.0,0.0,5.563451491696996,12.89,5.563451491696996,0.0,1.2106481481481484,0.0,3.94675925925926,3.6041666666666665,7,1,1,1,0,1
sample_243,2.180555555555556,1.2326388888888888,80.12999999999998,72.06599999999999,-0.0842401963653469,0.0842401963653469,0.0312751715085585,0.8333333333333334,1.5,2.462498011451559,0.8832766380870198,0.8832766380870198,34.3994618804395,0.7127241728381909,0.0,12.84164324585202,0.0,0.0,0.0,0.0,12.84164324585202,0.0,12.84164324585202,0.0,0.0,0.0,0.0,11.0,6,0,0,0,0,0
