,0,1
134,1.7189893263432923e-38,1.0
135,1.4392832898696764e-10,0.9999999998560716
136,3.8549693789645673e-56,1.0
137,1.877792782155139e-30,1.0
138,3.790444086729643e-40,1.0
139,2.0184125873211878e-55,1.0
140,6.91891525928543e-53,1.0
141,6.473748008118459e-57,1.0
142,3.069875587700637e-49,1.0
143,1.5785150446121669e-49,1.0
144,9.210245716763913e-63,1.0
145,1.664108365510559e-29,1.0
146,1.1699448541655874e-36,1.0
147,1.6443633714502312e-54,1.0
148,1.0912589626425038e-47,1.0
149,1.1817733993207267e-41,1.0
150,1.895535528754917e-54,1.0
151,1.0142396165781674e-29,1.0
152,1.7924603078719647e-36,1.0
153,6.20101387793304e-17,1.0
154,1.1674079336394872e-40,1.0
155,1.2947979684438962e-53,1.0
156,3.649391936890784e-24,1.0
157,4.986548242990842e-38,1.0
158,5.665747834400341e-35,1.0
159,3.4275833433353198e-37,1.0
160,3.0773968521312716e-25,1.0
161,3.949348916176978e-29,1.0
162,9.950930074311903e-29,1.0
163,7.041107765837306e-73,1.0
164,7.441500449684108e-48,1.0
165,8.209703430139315e-28,1.0
166,5.44773122887297e-28,1.0
167,4.3666416060354365e-31,1.0
168,1.2781907437082252e-34,1.0
169,6.353553647606406e-59,1.0
170,1.1210639803112446e-38,1.0
171,4.432313244549131e-21,1.0
172,6.385110990593515e-33,1.0
173,5.6875760429269845e-39,1.0
174,3.301327339550748e-47,1.0
175,1.7343663005178106e-18,1.0
176,4.9215891472780986e-37,1.0
177,6.592007095961833e-29,1.0
178,2.576769437864071e-23,1.0
179,1.1874032226461802e-44,1.0
180,5.939627799672084e-43,1.0
181,3.510351201411835e-49,1.0
182,4.823299544419849e-41,1.0
183,7.964950391311782e-33,1.0
184,6.89638694816997e-24,1.0
185,5.950568244940516e-28,1.0
186,3.0883100537321322e-40,1.0
187,4.224722460550155e-46,1.0
188,4.970363398094245e-23,1.0
189,3.7934565646625725e-50,1.0
190,3.6508242243532403e-34,1.0
191,6.878553139756982e-16,0.9999999999999991
192,1.252125375439831e-19,1.0
193,3.1888772295276375e-17,1.0
194,8.941802808312479e-51,1.0
195,4.151275837253831e-39,1.0
196,1.962487258337319e-18,1.0
197,6.635742551665911e-28,1.0
198,2.9382647711197916e-61,1.0
199,1.4899285478751468e-60,1.0
200,1.6384804965116923e-22,1.0
201,1.965313021013168e-48,1.0
202,2.3687489285467256e-33,1.0
203,2.150063027246266e-44,1.0
204,6.874495520573247e-28,1.0
205,4.30037982026633e-41,1.0
206,3.2367176789780343e-34,1.0
207,1.6432466300248081e-59,1.0
208,5.1261960778984975e-43,1.0
209,6.488745646899555e-76,1.0
210,7.742899827123211e-53,1.0
211,1.1004873858494393e-28,1.0
212,1.7735468648328592e-39,1.0
213,1.6216270739628055e-12,0.9999999999983782
214,2.7089710382246516e-39,1.0
215,5.81826274528667e-20,1.0
216,7.172771784689943e-48,1.0
217,1.5799167148092028e-37,1.0
218,1.133217889458948e-43,1.0
