,t1 (mode),t2 (mode)
sample_185,0.6551724137931034,-0.8620689655172413
sample_186,0.6551724137931034,-0.8620689655172413
sample_187,0.6551724137931034,-0.8620689655172413
sample_188,0.6551724137931034,-0.8620689655172413
sample_189,0.6551724137931034,-0.8620689655172413
sample_190,1.0,-0.7931034482758621
sample_191,1.0,-0.7241379310344828
sample_192,-0.2413793103448276,0.9310344827586207
sample_193,-0.3103448275862069,-0.4482758620689655
sample_194,-0.3103448275862069,-0.4482758620689655
sample_195,-0.034482758620689655,0.9310344827586207
sample_196,0.7241379310344828,-0.7931034482758621
sample_197,1.0,-0.6551724137931034
sample_198,1.0,-0.5862068965517241
sample_199,1.0,-0.5862068965517241
sample_200,0.3793103448275862,-0.6551724137931034
sample_201,-0.1724137931034483,0.3793103448275862
sample_202,0.3793103448275862,-0.6551724137931034
sample_203,1.0,-0.5172413793103449
sample_204,1.0,-0.5172413793103449
sample_205,0.2413793103448276,0.8620689655172413
sample_206,1.0,-0.3793103448275862
sample_207,0.6551724137931034,1.0
sample_208,1.0,-0.2413793103448276
sample_209,0.9310344827586207,0.10344827586206896
sample_210,0.6551724137931034,1.0
sample_211,1.0,-0.1724137931034483
sample_212,1.0,0.5172413793103449
sample_213,-0.6551724137931034,0.9310344827586207
sample_214,-0.9310344827586207,-0.8620689655172413
sample_215,-1.0,-0.6551724137931034
sample_216,-1.0,0.3103448275862069
sample_217,-0.8620689655172413,0.7241379310344828
sample_218,-1.0,-0.6551724137931034
sample_219,-0.9310344827586207,-0.8620689655172413
sample_220,-0.9310344827586207,-0.8620689655172413
sample_221,-1.0,-0.6551724137931034
sample_222,-1.0,0.1724137931034483
sample_223,-1.0,0.1724137931034483
sample_224,-1.0,0.4482758620689655
sample_225,-1.0,0.3103448275862069
sample_226,-0.9310344827586207,-0.7241379310344828
sample_227,-0.7931034482758621,-1.0
sample_228,-0.7931034482758621,-1.0
sample_229,-0.7931034482758621,-1.0
sample_230,-1.0,-0.6551724137931034
sample_231,-0.6551724137931034,0.9310344827586207
sample_232,-0.5172413793103449,1.0
sample_233,-0.6551724137931034,0.8620689655172413
sample_234,-0.6551724137931034,0.8620689655172413
sample_235,-1.0,-0.5862068965517241
sample_236,-1.0,0.3103448275862069
sample_237,1.0,-0.7931034482758621
sample_238,-1.0,-0.6551724137931034
sample_239,-1.0,-0.5862068965517241
sample_240,-1.0,-0.6551724137931034
sample_241,-1.0,-0.5862068965517241
sample_242,-0.6551724137931034,-0.8620689655172413
sample_243,-0.7241379310344828,-1.0
sample_244,-0.7241379310344828,-1.0
sample_245,-0.7241379310344828,-1.0
sample_246,-0.7931034482758621,-1.0
sample_247,-0.9310344827586207,-0.7241379310344828
sample_248,-0.7931034482758621,-1.0
sample_249,-0.7931034482758621,-1.0
sample_250,-0.7931034482758621,-1.0
sample_251,-0.6551724137931034,0.9310344827586207
sample_252,-0.6551724137931034,0.9310344827586207
sample_253,-0.6551724137931034,0.9310344827586207
sample_254,-0.5172413793103449,1.0
sample_255,-0.5172413793103449,1.0
sample_256,-0.5172413793103449,1.0
sample_257,-0.5172413793103449,1.0
sample_258,-1.0,-0.5862068965517241
sample_259,-1.0,-0.3793103448275862
sample_260,-1.0,-0.3793103448275862
sample_261,-1.0,0.1724137931034483
sample_262,-1.0,-0.3793103448275862
sample_263,-1.0,0.034482758620689655
sample_264,-1.0,-0.5862068965517241
sample_265,-1.0,0.034482758620689655
sample_266,-1.0,-0.3793103448275862
sample_267,-0.7241379310344828,0.9310344827586207
sample_268,-1.0,0.4482758620689655
sample_269,-0.8620689655172413,0.7241379310344828
sample_270,-0.7241379310344828,-1.0
sample_271,-0.5862068965517241,1.0
sample_272,-0.6551724137931034,0.8620689655172413
sample_273,-0.5172413793103449,1.0
sample_274,-1.0,-0.5862068965517241
sample_275,-0.7931034482758621,0.2413793103448276
sample_276,-0.7241379310344828,-0.5862068965517241
sample_277,-0.7931034482758621,-1.0
sample_278,1.0,-0.9310344827586207
sample_279,1.0,-1.0
sample_280,0.6551724137931034,-1.0
sample_281,1.0,-0.9310344827586207
sample_282,-0.4482758620689655,0.7241379310344828
sample_283,-0.10344827586206896,0.9310344827586207
sample_284,0.6551724137931034,-0.8620689655172413
sample_285,0.6551724137931034,-0.8620689655172413
sample_286,1.0,-0.7931034482758621
sample_287,1.0,-0.7241379310344828
sample_288,0.7241379310344828,-0.7931034482758621
sample_289,0.3793103448275862,-0.6551724137931034
sample_290,1.0,-0.3793103448275862
sample_291,-0.8620689655172413,-1.0
sample_292,-0.9310344827586207,-0.8620689655172413
sample_293,-0.6551724137931034,-0.8620689655172413
sample_294,-0.5172413793103449,1.0
