,MaxEStateIndex,NumAromaticCarbocycles,ExactMolWt,HeavyAtomCount,MolWt,Chi0,Chi3n,MaxAbsPartialCharge,LabuteASA,Chi0n,NumValenceElectrons,Chi0v,Chi3v,MinAbsPartialCharge,Chi1n,Chi1,MolMR,NumHDonors,Chi1v,NOCount,Chi2n,VSA_EState10
SMR_VSA3,0.11070901700238625,0.11801704066862276,0.14635722222347453,0.20380573618294737,0.1450343113210634,0.1927369906457423,0.06951731998869387,0.12627318675083188,0.1608974858010662,0.17500951077279278,0.18850314485750785,0.14348789858940172,0.06333595810549225,0.24093682975258263,0.1411334342303701,0.20899738862877004,0.1500691614305241,0.2354454311477548,0.13351368412495376,0.48060226662713196,0.10195914374032083,0.1034179444355213
SMR_VSA4,0.31821376287582936,0.2470259068326066,0.3765926781772947,0.4507969563870421,0.3749587344873394,0.45825411504643826,0.747293684662523,0.15731351002840377,0.43338785006906005,0.5245153919399554,0.4935159119248131,0.46537232050865784,0.6313739210162599,0.13112166713428802,0.569198875428571,0.43433225649676394,0.40889279422812025,0.26134576929249537,0.4922781100769591,0.24137635621907091,0.6951853908599481,0.08695160929124993
SMR_VSA5,0.28082204519784887,0.3840169960007639,0.2879690389042833,0.3920600132400584,0.28552894198085677,0.41586564650107943,0.6268774092256235,0.17462186368111451,0.37146334022163924,0.5562661403642587,0.482805238388409,0.452867124367458,0.5033238555007069,0.072904847410634,0.6066251799450214,0.3821132551123119,0.3801890009496038,0.19858369724973965,0.5046644775804799,0.18538227271213809,0.6481718589116706,0.23561918735011902
SMR_VSA6,0.16864324151472299,0.0023583634355878,0.27880546466249595,0.3183606636235945,0.27723613089302784,0.3229738507965776,0.16713952657885509,0.28017339028630783,0.30338044154038046,0.35273092132431993,0.34745712833544207,0.3303268708316491,0.21532917769366108,0.2278461860797046,0.30785678002250744,0.3265375742713746,0.3184102914960017,0.06759201019961063,0.3357223316542037,0.37563266443957116,0.21790056157265536,0.0946884873979684
SMR_VSA7,0.006909552312000402,0.8741970306479602,0.4291898788295095,0.4945904295471505,0.4291436015609052,0.44670046307538824,0.24602976558211037,0.09260232367503529,0.48135317956562224,0.3737100707439132,0.3877686150615841,0.39307001507422257,0.24297533976829874,0.0036450849441036644,0.35180233288876195,0.515562508679691,0.5209806485688159,0.04858384206945459,0.3481413724672231,0.04449091150782269,0.27200896718867235,0.16881065390658895
SMR_VSA9,0.05791660000573515,0.4236811842739598,0.30053396757010375,0.2914493382790469,0.30116520070953406,0.2784151578389886,0.13249040979912738,0.09395550311691406,0.30741256837509207,0.21726065239619038,0.24625466595926357,0.26236625836811256,0.14912619023060977,0.0260832619347863,0.18867326824291736,0.29752258696986666,0.30058716222755877,0.05202660691698593,0.20667829648382557,0.07262075501047519,0.14876464273610598,0.22999215965791822
SlogP_VSA1,0.33171168701388903,0.07932986232696693,0.23862482942578223,0.29770013905817944,0.23688610613694563,0.30674848313367975,0.07473512618470601,0.30979028758499966,0.2402723520916367,0.2542422612319374,0.29322690513834865,0.21525090674144812,0.07220688710917061,0.4326889071437046,0.19013717964721263,0.29424744084561016,0.226148523581033,0.4554170307922956,0.19139661097265168,0.6139891363344018,0.13036658185411001,0.14036680947256766
SlogP_VSA10,0.29362959095815666,0.16962183203414882,0.22170491456400096,0.2705306222883565,0.22031483539898727,0.28115367669161,0.0676053926606645,0.19102167098541956,0.22315880650385733,0.22907702569411287,0.26306391269034907,0.19828113558428076,0.07236959717240068,0.3397612874460071,0.17564594816525803,0.2639590840919724,0.21486437395001703,0.16309402255709987,0.17689542427534902,0.36823683658226636,0.12534430952785489,0.11269518141866784
SlogP_VSA12,0.20415973502782675,0.1302245737159085,0.40918379417699274,0.054894344735166835,0.4147741066685595,0.07679041377360361,0.08925974867447277,0.3607343884702892,0.24423054843432374,0.07127449549953532,0.055863342227268166,0.24970222374499215,0.23824749730386355,0.16582154457410997,0.097070568419531,0.03895478547798405,0.18948102788188215,0.21568342685745628,0.18169336093274485,0.2623868438450823,0.09621377750543698,0.9506189820147909
SlogP_VSA2,0.4874912740314975,0.18471453101099589,0.5122856515744715,0.589892402311302,0.5097014441753704,0.6132013526574032,0.5085313582692625,0.4675352381631216,0.5383781245857014,0.5981815740840527,0.6390769561946247,0.5363320902623137,0.46495336753854166,0.43766962915787333,0.5644891325987087,0.5790193807801858,0.48096442144295126,0.6009078116570248,0.5272482093232324,0.7727067130060972,0.5463399526727953,0.14521243029084854
SlogP_VSA3,0.47010643118650136,0.06802246976790026,0.4399249182545706,0.49080206824042577,0.43759804100467536,0.5150705715812911,0.3912768438465261,0.3351140876429542,0.4486507000324189,0.5009368611000502,0.5253955304108894,0.47029073000170707,0.4489273676840294,0.48766651518504384,0.4586961119908316,0.4782525083020713,0.41199809566480816,0.23135754232270134,0.5064416578737118,0.5611310966131289,0.4271845750513079,0.13291343422750648
SlogP_VSA4,0.26560421493876335,0.1517794519358836,0.35042302017984406,0.4236068690526463,0.3486005654749485,0.4300552770426436,0.6701607531352551,0.09942542573962582,0.3997564036440546,0.4881300788098712,0.44931483633719405,0.4278494638570584,0.5622696495896058,0.09746566186944029,0.5133872161747258,0.4079594420174283,0.3824146455416061,0.13130460269679714,0.4384315415309024,0.22304754669077084,0.6251886648412385,0.11548184643026264
SlogP_VSA5,0.29980210036456206,0.3239625845920011,0.21464173650906748,0.3409072892582807,0.21201777564758106,0.360253358843691,0.5654524783925808,0.19738631259796033,0.3131802948106082,0.5146119360603869,0.41812927077852485,0.39297725825512797,0.41884191436835455,0.1065182802407724,0.5653133119736312,0.3369037506238347,0.3390671010225233,0.0653309779096001,0.44193342434171734,0.1000300888913518,0.586818765152008,0.28918176060102474
SlogP_VSA6,0.00940481153846676,0.8426689809939758,0.355384305498028,0.4661412791698834,0.3543990793074845,0.40847157136529927,0.2603209695781252,0.056572333569581676,0.4274546532249932,0.36991456656222554,0.35946308836664853,0.3454805495777395,0.22820211631294068,0.01339572425101591,0.3617059923248242,0.49218404835811985,0.48678229614433294,0.023740051397452406,0.3341217883109634,0.048813108633704784,0.2830016819542641,0.01234499683859302
