,t1 (mean),t2 (mean)
sample_145,0.6551723872631344,-0.9953929626098318
sample_146,-0.7931013684830942,0.2427119736995121
sample_147,-0.7241379202227273,-0.5799650697150273
sample_148,0.9999914253541037,-0.9313356770139617
sample_149,0.9999914253541037,-0.9313356770139617
sample_150,0.9999741610923515,-0.9317399918192188
sample_151,0.9999741610923515,-0.9317399918192188
sample_152,0.99999329778292,-0.9313415774674745
sample_153,0.99999329778292,-0.9313415774674745
sample_154,0.9999851323480463,-0.9256432451273505
sample_155,0.9999828934795584,-0.9254706327368992
sample_156,0.9320523978761478,-0.9996285395295819
sample_157,0.9316349877377981,-0.9994561276481014
sample_158,-0.37931130837925386,0.9999999977418432
sample_159,0.9999329127640204,-0.9556659967138044
sample_160,0.9999870552827628,-0.9354711744611405
sample_161,0.9999999712292517,-0.8630633233381952
sample_162,0.9994473072237708,-0.9791232127520528
sample_163,0.9991570174939338,-0.971970901618474
sample_164,0.999392579666669,-0.9741242087425301
sample_165,-0.9999394824139924,-0.593249339506616
sample_166,-0.9999999999999518,-0.36136193242250636
sample_167,-0.51724137938691,-0.6551724143965487
sample_168,-0.5346130459579908,-0.8621454295854458
sample_169,-0.4482759008956924,0.7241379687655165
sample_170,0.6551724116142572,-0.9299648635425133
sample_171,0.6551724136586647,-0.931320349230493
sample_172,0.6551724135303157,-0.9313787388206993
sample_173,0.6551724137995174,-0.9315666775742824
sample_174,0.6551721584488878,-0.9263054234030608
sample_175,0.6551724137931377,-0.9345768270238787
sample_176,0.6551724137931217,-0.935805045855044
sample_177,-0.5173911792064039,0.7927830050219143
sample_178,0.9999999910605414,-0.8586121656376915
sample_179,0.999999997812019,-0.8533436127112335
sample_180,0.9999999999999898,-0.7943665377659618
sample_181,0.9999847604792593,-0.9293181999367389
sample_182,-0.10344620412514403,0.9310344827586206
sample_183,0.655211231337547,-0.8620475768928849
sample_184,0.6552682611775523,-0.8622387684242006
sample_185,0.6551839771777351,-0.8657665838904736
sample_186,0.6551777332012176,-0.8762308542383754
sample_187,0.6551809298926616,-0.8639680517033296
sample_188,0.6552016606228261,-0.8627141374325443
