,t1 (mean),t2 (mean)
sample_264,-0.8927417930057897,0.5113036619034673
sample_265,-0.833620459100141,0.8215514455638625
sample_266,-0.5400392034243233,-0.9796449037273138
sample_267,-0.9999978321249116,0.34513212352212086
sample_268,-0.9999999826685114,0.31617083095952336
sample_269,-0.9999996180363835,-0.01415722411046747
sample_270,-0.6413678003413554,-0.7700920031365053
sample_271,-0.8429721393744198,0.812196415545444
sample_272,-0.8603310301231699,0.7948002504654331
sample_273,-0.7297534322626155,0.9253998456295893
sample_274,-0.5197754341290796,-0.9758884216095846
sample_275,-0.5707032806884983,0.25566389535641837
sample_276,-0.4796846236326983,-0.032397683599444504
sample_277,-0.47720091642692164,-0.9994582671856621
sample_278,-0.2718150508277808,-0.9999999910796857
sample_279,-0.321484652819216,-0.9999987654297083
sample_280,-0.2771527193035728,-0.42763416009354044
sample_281,-0.26535533646394555,-0.9999999914475027
sample_282,-0.379550338877747,0.6551724127320457
sample_283,-0.0345659249366639,0.9999999999999999
sample_284,-0.10880613076069774,-0.4482747626712719
sample_285,-0.10604472566708215,-0.44827555759013
sample_286,0.07997611998551984,-1.0
sample_287,0.11047394028949872,-0.9999999999728474
sample_288,0.10344612148294399,-0.44827544783027307
sample_289,0.17241340499671456,-0.1724148966037464
sample_290,0.9999944222007338,-0.7931077618613614
sample_291,-0.7988632569265198,-0.9896237976511109
sample_292,-0.8728600199594758,-0.8747776638799516
sample_293,-0.5778823176635197,-0.15712015806869728
sample_294,-0.728291261268005,0.9268352093197781
