"",MaxAbsEStateIndex,HeavyAtomMolWt,ExactMolWt,MaxAbsPartialCharge,MinAbsPartialCharge,Chi0,Chi0v,Chi1,Chi1n,Chi2v,Chi3n,Chi4n,Chi4v,LabuteASA,VSA_EState10,HeavyAtomCount,NOCount,NumHDonors,MolMR,fr_benzene
MolLogP,0.2020730174544687,0.4725199529950799,0.466738521686626,0.34302180873716565,0.24739553542920364,0.34831730182858545,0.49891026976970254,0.3764583730566412,0.3732548619791498,0.4572947152898981,0.31700201040444054,0.3004623791435686,0.4044408587617767,0.47951048212576125,0.5486187571112912,0.3669857591019963,0.44197808038277187,0.49183561796639824,0.5326567774178479,0.5331274548866909
NumAromaticRings,0.10444106876572576,0.3646804801472306,0.34285635017338656,0.0902816193824194,0.03294214871504062,0.3541200712091217,0.30896276019558755,0.43764856715274575,0.27579501116770844,0.18310298590219826,0.16174076898952003,0.13450660716829568,0.14865696357900257,0.39006203557260777,0.1083975203016022,0.41188404460162337,0.05235860606125303,0.05006668432871427,0.44744351666372767,0.8826879912970794
NumHAcceptors,0.5690316848940353,0.5043629015824372,0.5216413026506762,0.5531621954431066,0.5864526338381337,0.6432053165568784,0.5236083692755069,0.6105147023745098,0.5266877325250399,0.4693959812452842,0.4289412672584867,0.3939684113893413,0.41741005087758465,0.5410657859597761,0.2145202387770874,0.6215474222216307,0.934641917692668,0.5979244351211255,0.4857818440506457,0.08163212065017719
Chi0n,0.4664310861833064,0.8046891249196986,0.8421622774313589,0.2848912976276778,0.32863903320566223,0.9688887880969272,0.9442088403353286,0.9704789340366369,0.9875824235093148,0.867502854616853,0.9007800161663915,0.8579960473185568,0.8218660280675952,0.9392741569324481,0.026188843377239923,0.9711923246145437,0.5409510748958599,0.30844934554872977,0.9494185237125635,0.30564392999740553
VSA_EState1,0.3858966057846947,0.36774840071372433,0.36731507970289595,0.2379832098368246,0.3730796924912965,0.3889389470986152,0.3300404464986531,0.35556608416083896,0.26259252960486773,0.3271330048579176,0.1622537623877447,0.13499548899598338,0.24001924910017067,0.329214337862199,0.0811915556780652,0.36938216800367524,0.42553148145617115,0.14365850108667963,0.28934532300306753,0.1034963724499362
NumRotatableBonds,0.3192922688227629,0.2782646188548438,0.31448241983428404,0.31302457020812563,0.33079467459799117,0.3915591735509898,0.3991170209043155,0.3604125054761293,0.4112246931625643,0.30041787509054796,0.18028474352268972,0.12449900638096048,0.1993304088604813,0.347726193791335,0.11574392135512161,0.3560751041414899,0.3325583432856277,0.12788956151768868,0.368092125109867,0.10570806091985709
fr_bicyclic,0.1311688969194682,0.43242503448663744,0.4545304232139961,0.05868047593328732,0.010832087884650303,0.5088398752436304,0.5225352866447114,0.5433578555738295,0.6220088817845746,0.6063054337386894,0.7712709079164168,0.8043951870235381,0.7327168528750976,0.5260769330232078,0.0050262589042228386,0.5414345759103562,0.13630762469272165,0.09095816248015849,0.5287267973057412,0.1199671286958109
RingCount,0.17703466756609346,0.6522383757965091,0.6624854817719442,0.0538485746405277,0.04859415287005497,0.7273144315708557,0.6977113420926209,0.7970440753136663,0.7678572368327164,0.6858536692018586,0.8207271997731874,0.8259978070009105,0.7571610173029436,0.7508099120844713,0.04607097652373427,0.7830276348897756,0.28863986018979826,0.16441874862886063,0.7643334216822026,0.5364949923471721
FractionCSP3,0.014372087426926073,0.18805403046405791,0.14752819681607102,0.036996987830289305,0.10526405419975758,0.1166089724436041,0.03942777463864199,0.1692841606135718,0.043433374897678345,0.07218004003976303,0.08951503328266343,0.0947864766067516,0.05883742028353273,0.1419555230903694,0.16882791213954468,0.15524441055378002,0.05182652853715575,0.01016754869642321,0.1491885523025418,0.6509692592585284
fr_C_O_noCOO,0.5418872655164576,0.2609024263626084,0.2810098708634629,0.24352807198380771,0.42946942037739083,0.3990240522056149,0.32492680649882494,0.3662622812768688,0.38449633026666313,0.2823285315414142,0.3863435289966185,0.3808813130542546,0.29049513475539607,0.32712456855382754,0.1661761488170768,0.37771579626240204,0.4446641366898859,0.2078433002976386,0.2827420525667956,0.13931158222405834
EState_VSA8,0.46625127907321956,0.08484003419918393,0.09694758158923983,0.3503136250950648,0.33505785750232303,0.07098133478251338,0.14338331718723635,0.13482468443493778,0.19419117240237407,0.15516514477380525,0.18341355372979257,0.18833864008925727,0.15075731262279474,0.11740790651447351,0.1753393335479545,0.11392731111287092,0.19794887385072826,0.18231362024976908,0.21011081771027704,0.3193712399049094
SMR_VSA3,0.11070901700238625,0.14668817965962422,0.14635722222347453,0.12627318675083188,0.24093682975258263,0.1927369906457423,0.14348789858940172,0.20899738862877004,0.1411334342303701,0.08849536892923424,0.06951731998869387,0.05053863717968984,0.05405386843791131,0.1608974858010662,0.1034179444355213,0.20380573618294737,0.48060226662713196,0.2354454311477548,0.1500691614305241,0.11801704066862237
NumHeteroatoms,0.528302110158732,0.7249224316655284,0.7086975058925924,0.3312503764027429,0.5817403194387967,0.6570553355917775,0.6019707418912014,0.5904145355639738,0.40600184163530256,0.5424625200574841,0.31011593959546296,0.27467534387656506,0.4242549042334415,0.6310832513993936,0.3377925243419225,0.6159445330755392,0.7949932540010216,0.4956881337157944,0.531441905611445,0.023797603849465082
SlogP_VSA4,0.26560421493876335,0.32063633325364777,0.35042302017984406,0.09942542573962582,0.09746566186944029,0.4300552770426436,0.4278494638570584,0.4079594420174283,0.5133872161747258,0.5070930215368131,0.6701607531352551,0.6880539079486863,0.5893022633439328,0.3997564036440546,0.11548184643026264,0.4236068690526463,0.22304754669077084,0.13130460269679714,0.3824146455416061,0.151779451935883
NumAliphaticRings,0.3076216613495946,0.4633354957060296,0.4952474148170895,0.1458800381618195,0.08825998460316457,0.5636355182094124,0.5681793050844792,0.5733504706851352,0.6827234845368924,0.6663464108959615,0.8486717062129501,0.8793974531289673,0.7834389787641891,0.5599385781413823,0.04115011663225004,0.5794206574678564,0.30251173132942627,0.2437432840253085,0.5250065360000943,0.1398347160797158
SMR_VSA4,0.31821376287582936,0.3404860404339987,0.3765926781772947,0.15731351002840377,0.13112166713428802,0.45825411504643826,0.46537232050865784,0.43433225649676394,0.569198875428571,0.5731985827102241,0.747293684662523,0.7732906618001533,0.6661686000606035,0.43338785006906005,0.08695160929124993,0.4507969563870421,0.24137635621907091,0.26134576929249537,0.40889279422812025,0.24702590683260825
VSA_EState2,0.634281450421588,0.33981361518565134,0.3568791932635543,0.3995194884960219,0.6470528515355415,0.5012898367114182,0.3761136687235682,0.46834609670648975,0.44041196400670507,0.2947906470018172,0.41708978849667705,0.40316640043107843,0.29683381877669685,0.4003543238730822,0.2294330389340913,0.48006835164995276,0.6994081309474106,0.3310145322827517,0.34597461721839257,0.1547318728944248
