,t1 (mean),t2 (mean)
sample_87,-0.1543177334591245,-0.7395509480664442
sample_88,0.1363297223882068,-0.7922400441350307
sample_89,-0.7636676005620899,0.25963022978235806
sample_90,-0.8085672778939221,-0.01011154941450708
sample_91,-0.728696359268711,0.07897106508112611
sample_92,-0.18474788311538948,-0.7676852625431274
sample_93,-0.723596041090818,-0.5590979435064376
sample_94,0.4969363336994986,-0.8486893794975072
sample_95,-0.6652306121159033,0.8421546005015558
sample_96,-0.6624141970484898,0.8011008341684568
sample_97,0.7021455374221488,-0.7931857758041605
sample_98,0.5743100646380955,-0.8738807504248531
sample_99,0.5304692301439502,-0.8596575490355439
sample_100,0.5367805569855418,-0.8682129259371667
sample_101,0.50144652345388,-0.8958034626474649
sample_102,0.5107235720950712,-0.8734843021908728
sample_103,0.5107235720950712,-0.8734843021908728
sample_104,0.695693573431873,-0.8180658795153606
sample_105,0.5134280529855298,-0.8753339160653277
sample_106,0.553523014135192,-0.8925201105905292
sample_107,-0.4586231945520809,-0.8720235013322392
sample_108,-0.9002190069454943,-0.30616922590083107
sample_109,-0.6648816367918953,0.8920598280256263
sample_110,-0.6638322581296167,0.8731077917238768
sample_111,-0.5545128034850535,0.9987299357819632
sample_112,-0.5896794768809377,0.9117656433415579
sample_113,-0.6081411583807018,0.9214051801412395
sample_114,-0.5781208404192484,0.9983488666501088
sample_115,-0.9035786968468934,-0.17598693642360508
sample_116,0.695138241584624,-0.8618542040898655
sample_117,0.7345244409744364,-0.861343253080496
sample_118,0.6970035155975256,-0.8318681707250402
sample_119,0.6989033826686962,-0.8605899734588686
sample_120,0.7068743351715423,-0.8589358874725684
sample_121,-0.6232677913661688,-0.7244018301758018
sample_122,-0.594551987345619,-0.8359968603167425
sample_123,-0.7321161620058407,-0.7108469579489
sample_124,-0.7033949564045334,-0.6449652201334032
sample_125,-0.6649086199075086,-0.6959753110167894
sample_126,-0.6194314995502382,0.6178754624649733
sample_127,-0.5423101322445182,0.6770826343230102
sample_128,0.193014225382437,-0.7718210668677365
sample_129,-0.7246098995589547,0.2167588826917352
sample_130,-0.728846815781154,0.23072058239391313
sample_131,-0.7312050268268223,0.2103494592269311
sample_132,-0.7100519010904389,0.028475426100629697
sample_133,-0.7097846372139336,0.01007554735894868
sample_134,-0.5199878010895607,0.9996385139203782
sample_135,-0.518291590036115,0.9987336250315965
sample_136,0.741662922413182,-0.7613916427591403
sample_137,0.7820679744066651,-0.7939290588960145
sample_138,0.7638887749094397,-0.7619017034934392
sample_139,0.75607080055842,-0.7931983416388568
sample_140,0.7583721594895371,-0.7919234686163058
sample_141,0.08906347676723078,-0.715893366181046
sample_142,-0.5729827914831818,0.6359375727908717
sample_143,0.2559901607843658,-0.7207624457729708
sample_144,0.35119616658447217,-0.7193562684289425
sample_145,0.3692001529665182,-0.7181283511250124
sample_146,-0.6915645664880186,0.21884873997629953
sample_147,-0.40910138698566634,-0.5789732701258046
sample_148,0.8030836280054339,-0.7188974760376241
sample_149,0.8030836280054339,-0.7188974760376241
sample_150,0.7954175983829512,-0.7199276234768046
sample_151,0.7954175983829512,-0.7199276234768046
sample_152,0.8057680887244024,-0.7200092372061849
sample_153,0.8057680887244024,-0.7200092372061849
sample_154,0.790425919950593,-0.704053700160971
sample_155,0.7889620961749351,-0.7026004207380323
sample_156,0.696120087173045,-0.7461034522771466
sample_157,0.6986269513998462,-0.7349353114532354
sample_158,-0.44805004041571955,0.9999314310427493
sample_159,0.8188383900216291,-0.7276579208684041
sample_160,0.8309965585559427,-0.7238264282780071
sample_161,0.817366668244187,-0.6955372638325398
sample_162,0.8061232294717106,-0.7294484629620207
sample_163,0.8009688986663482,-0.7268694440208027
sample_164,0.8061039540621724,-0.7277737609435286
sample_165,-0.6857396503425026,-0.745856264839184
sample_166,-0.8521004827010003,-0.49338770036452806
sample_167,-0.21997473190658362,-0.44824767357528456
sample_168,0.19517985480860725,-0.6565166923316014
sample_169,-0.38170002187635466,0.815822875242656
sample_170,0.41510300471624134,-0.6538360256634353
sample_171,0.3847290812740764,-0.6526425495183517
sample_172,0.3988937554347416,-0.6550380843912899
sample_173,0.4719061908301516,-0.6500661264900481
sample_174,0.38833683025864035,-0.6530301841609453
sample_175,0.4283884185185073,-0.6502970330664725
sample_176,0.42386251922818274,-0.6525215528230486
sample_177,-0.4893611483330636,0.8328220482440959
sample_178,0.830355173881158,-0.6440834674435328
sample_179,0.8619689356086364,-0.6238629805731178
sample_180,0.8633101556746685,-0.6311030862417558
sample_181,0.8526028103651689,-0.6576958061283218
sample_182,-0.1689585159424875,0.9943003050213555
sample_183,0.419236727971097,-0.5304941715512381
sample_184,0.46497646083891003,-0.5849599275185646
sample_185,0.4921302337785022,-0.5857550629334333
sample_186,0.5044243668170252,-0.5881917345109963
