,t1 (mode),t2 (mode)
sample_241,-0.3103448275862069,-0.7241379310344828
sample_242,0.10344827586206896,-1.0
sample_243,0.1724137931034483,-0.3103448275862069
sample_244,0.1724137931034483,-0.3103448275862069
sample_245,0.1724137931034483,-0.3103448275862069
sample_246,0.10344827586206896,-0.2413793103448276
sample_247,-0.1724137931034483,0.2413793103448276
sample_248,0.034482758620689655,-0.034482758620689655
sample_249,0.10344827586206896,-0.10344827586206896
sample_250,0.034482758620689655,-0.034482758620689655
sample_251,-0.4482758620689655,0.2413793103448276
sample_252,-0.3103448275862069,0.3793103448275862
sample_253,-0.3793103448275862,0.3793103448275862
sample_254,-0.6551724137931034,0.3793103448275862
sample_255,-0.5862068965517241,0.3793103448275862
sample_256,-0.6551724137931034,0.3793103448275862
sample_257,-0.6551724137931034,0.3793103448275862
sample_258,-0.1724137931034483,0.3103448275862069
sample_259,-0.3793103448275862,-0.8620689655172413
sample_260,-0.3793103448275862,-0.8620689655172413
sample_261,-0.4482758620689655,-0.7931034482758621
sample_262,-0.3793103448275862,-0.7931034482758621
sample_263,-0.3793103448275862,-0.8620689655172413
sample_264,-0.2413793103448276,0.3103448275862069
sample_265,-0.9310344827586207,-1.0
sample_266,-0.2413793103448276,-0.9310344827586207
sample_267,-0.5862068965517241,0.034482758620689655
sample_268,-0.5172413793103449,-0.4482758620689655
sample_269,-0.5172413793103449,-0.034482758620689655
sample_270,0.10344827586206896,-0.3793103448275862
sample_271,-0.6551724137931034,0.3103448275862069
sample_272,-1.0,0.1724137931034483
sample_273,-0.5172413793103449,0.4482758620689655
sample_274,-0.1724137931034483,-0.9310344827586207
sample_275,0.10344827586206896,-0.9310344827586207
sample_276,0.1724137931034483,-1.0
sample_277,0.1724137931034483,0.034482758620689655
sample_278,0.3103448275862069,0.034482758620689655
sample_279,0.2413793103448276,0.034482758620689655
sample_280,0.3793103448275862,-0.4482758620689655
sample_281,0.3103448275862069,0.10344827586206896
sample_282,-0.5172413793103449,0.6551724137931034
sample_283,-0.9310344827586207,1.0
sample_284,0.6551724137931034,-0.3103448275862069
sample_285,0.6551724137931034,-0.3103448275862069
sample_286,0.4482758620689655,0.1724137931034483
sample_287,0.1724137931034483,0.6551724137931034
sample_288,1.0,-0.1724137931034483
sample_289,1.0,-0.6551724137931034
sample_290,1.0,0.4482758620689655
